ID,GX,GY,Species,Tag,PrevStatus,PrevIDqual,PrevHt,Cell,PrevComments,StandID,Plot,PrevYear
001000001,46,78,GASH,37003,1,S,1080,E3,,FOREG_02,001,2023
001000002,8,73,BENE,37076,1,S,277,B3,,FOREG_02,001,2023
001000003,2,52,BENE,37098,1,S,147,A5,,FOREG_02,001,2023
001000004,61,52,BENE,37086,1,S,210,H5,Crushed,FOREG_02,001,2023
001000005,80,42,GASH,37028,1,S,619,I6,,FOREG_02,001,2023
001000006,100,52,GASH,37064,9,S,,J5,,FOREG_02,001,2023
001000007,81,41,GASH,37002,9,S,,I6,,FOREG_02,001,2023
001000008,97,32,TSHE,37077,6,S,,J7,PLANT MISSING,FOREG_02,001,2020
001000009,98,17,TSHE,37043,6,S,,J8,PLANT MISSING,FOREG_02,001,2020
001000010,91,31,TSHE,37016,6,S,,I7,"PRESUMED DEAD, PLANT AND TAG MISSING",FOREG_02,001,2020
001000011,88,28,TSHE,37061,6,S,,I8,PLANT MISSING,FOREG_02,001,2020
001000012,67,11,TSHE,37084,6,S,,G9,PLANT MISSING,FOREG_02,001,2020
001000013,83,12,BENE,37056,1,S,210,I9,,FOREG_02,001,2023
001000014,38,72,TSHE,37021,6,S,,D3,PLANT MISSING,FOREG_02,001,2020
001000015,38,71,TSHE,37010,6,S,,D3,PLANT MISSING,FOREG_02,001,2020
001000016,21,40,TSHE,TSHE_1,6,S,,C6,,FOREG_02,001,2021
001000017,83,69,TSHE,TSHE_2,6,S,,I6,,FOREG_02,001,2021
001000018,87,71,TSHE,TSHE_3,6,S,,I3,"plant missing, presumed dead",FOREG_02,001,2022
001000019,81,70,TSHE,TSHE_4,6,S,,I3,"plant missing, presumed dead",FOREG_02,001,2022
001000020,61,72,TSHE,TSHE_5,6,S,,G3,"plant missing, presumed dead",FOREG_02,001,2022
001000021,62,70,TSHE,TSHE_6,6,S,,G3,"plant missing, presumed dead",FOREG_02,001,2022
001000022,63,73,TSHE,TSHE_7,6,S,,G3,"plant missing, presumed dead",FOREG_02,001,2022
001000023,7,87,TSHE,TSHE_8,6,S,,A2,"plant missing, presumed dead",FOREG_02,001,2022
001000024,38,87,TSHE,TSHE_9,6,S,,D2,"plant missing, presumed dead",FOREG_02,001,2022
001000025,45,92,TSHE,TSHE_10,6,S,,E1,"plant missing, presumed dead",FOREG_02,001,2022
001000026,37,80,TSHE,TSHE_11,6,S,,D2,"plant missing, presumed dead",FOREG_02,001,2022
001000027,8,64,TSHE,TSHE_12,6,S,,A4,"plant missing, presumed dead",FOREG_02,001,2022
001000028,4,65,TSHE,TSHE_13,6,S,,A4,"plant missing, presumed dead",FOREG_02,001,2022
001000029,22,62,TSHE,TSHE_14,6,S,,C4,"plant missing, presumed dead",FOREG_02,001,2022
001000030,22,65,TSHE,TSHE_15,6,S,,C4,"plant missing, presumed dead",FOREG_02,001,2022
001000031,24,64,TSHE,TSHE_16,6,S,,C4,"plant missing, presumed dead",FOREG_02,001,2022
001000032,27,63,TSHE,TSHE_17,6,S,,C4,"plant missing, presumed dead",FOREG_02,001,2022
001000033,27,69,TSHE,TSHE_18,6,S,,C4,"plant missing, presumed dead",FOREG_02,001,2022
001000034,31,70,TSHE,TSHE_19,6,S,,D3,"plant missing, presumed dead",FOREG_02,001,2022
001000035,34,73,TSHE,TSHE_20,6,S,,D3,"plant missing, presumed dead",FOREG_02,001,2022
001000036,72,72,TSHE,TSHE_21,6,S,,H3,"plant missing, presumed dead",FOREG_02,001,2022
001000037,68,70,TSHE,TSHE_22,6,S,,G3,"plant missing, presumed dead",FOREG_02,001,2022
001000038,68,88,TSHE,TSHE_23,6,S,,G2,"plant missing, presumed dead",FOREG_02,001,2022
001000039,68,92,TSHE,TSHE_24,6,S,,G1,"plant missing, presumed dead",FOREG_02,001,2022
001000040,68,96,TSHE,TSHE_25,6,S,,G1,"plant missing, presumed dead",FOREG_02,001,2022
001000041,70,92,TSHE,TSHE_26,6,S,,H1,"plant missing, presumed dead",FOREG_02,001,2022
001000042,78,92,TSHE,TSHE_27,6,S,,H1,"plant missing, presumed dead",FOREG_02,001,2022
001000043,78,88,TSHE,TSHE_28,6,S,,H2,"plant missing, presumed dead",FOREG_02,001,2022
001000044,79,85,TSHE,TSHE_29,6,S,,H2,"plant missing, presumed dead",FOREG_02,001,2022
001000045,95,92,TSHE,TSHE_30,6,S,,J1,"plant missing, presumed dead",FOREG_02,001,2022
001000046,90,91,TSHE,TSHE_31,6,S,,J1,"plant missing, presumed dead",FOREG_02,001,2022
001000047,89,90,TSHE,TSHE_32,6,S,,I1,"plant missing, presumed dead",FOREG_02,001,2022
001000048,19,94,TSHE,TSHE_33,6,S,,B1,"plant missing, presumed dead",FOREG_02,001,2022
001000049,13,99,TSHE,TSHE_34,6,S,,B1,"plant missing, presumed dead",FOREG_02,001,2022
001000050,27,22,TSHE,TSHE_35,6,S,,C8,"plant missing, presumed dead",FOREG_02,001,2022
001000051,28,21,TSHE,TSHE_36,6,S,,C8,"plant missing, presumed dead",FOREG_02,001,2022
001000052,9,31,TSHE,TSHE_37,6,S,,A7,"plant missing, presumed dead",FOREG_02,001,2022
001000053,13,41,TSHE,TSHE_38,6,S,,B6,"plant missing, presumed dead",FOREG_02,001,2022
001000054,21,39,TSHE,TSHE_39,6,S,,C7,"plant missing, presumed dead",FOREG_02,001,2022
001000055,25,37,TSHE,TSHE_40,6,S,,C7,"plant missing, presumed dead",FOREG_02,001,2022
001000056,35,35,TSHE,TSHE_41,6,S,,D7,"plant missing, presumed dead",FOREG_02,001,2022
001000057,38,36,TSHE,TSHE_42,6,S,,D7,"plant missing, presumed dead",FOREG_02,001,2022
001000058,38,38,TSHE,TSHE_43,6,S,,D7,"plant missing, presumed dead",FOREG_02,001,2022
001000059,35,32,TSHE,TSHE_44,6,S,,D7,"plant missing, presumed dead",FOREG_02,001,2022
001000060,57,5,TSHE,TSHE_45,6,S,,F10,"plant missing, presumed dead",FOREG_02,001,2022
001000061,42,43,TSHE,TSHE_46,6,S,,E6,"plant missing, presumed dead",FOREG_02,001,2022
001000062,45,43,TSHE,TSHE_47,6,S,,E6,"plant missing, presumed dead",FOREG_02,001,2022
001000063,53,47,TSHE,TSHE_48,6,S,,F6,"plant missing, presumed dead",FOREG_02,001,2022
001000064,55,51,TSHE,TSHE_49,6,S,,F5,"plant missing, presumed dead",FOREG_02,001,2022
001000065,58,43,TSHE,TSHE_50,6,S,,F6,"plant missing, presumed dead",FOREG_02,001,2022
