ID,GX,GY,Species,Tag,PrevStatus,PrevIDqual,PrevHt,Cell,PrevComments,StandID,Plot,PrevYear
616100001,70,69,BENE,10102,1,S,80,H4,,BURNED,616,2023
639100002,29,68,SYMO,10122,2,S,294,C4,Not new already tagged ,BURNED,639,2023
612100003,59,66,CESA,10152,1,S,46,F4,,BURNED,612,2023
606100004,79,22,CEVE,10176,6,S,,H8,,BURNED,606,2023
634100005,59,93,BENE,10183,1,S,44,F1,,BURNED,634,2023
623100006,10,81,BENE,10190,1,S,28,B2,,BURNED,623,2023
669100007,94,85,BENE,10301,1,S,34,J2,,BURNED,669,2023
669100008,18,76,BENE,10302,1,S,69,B3,,BURNED,669,2023
666100009,99,75,BENE,10304,1,S,99,J3,,BURNED,666,2023
669100010,26,67,BENE,10305,1,S,70,C4,,BURNED,669,2023
669100011,90,90,BENE,10307,1,S,78,J1,,BURNED,669,2023
668100012,64,27,BENE,10308,7,S,,G8,,BURNED,668,2023
671100013,91,82,BENE,10312,1,S,51,J2,,BURNED,671,2023
670100014,45,10,PSME,10313,6,S,,E9,,BURNED,670,2023
669100015,73,84,BENE,10315,6,S,,H2,,BURNED,669,2023
671100016,96,48,BENE,10319,1,S,33,J6,,BURNED,671,2023
671100017,86,44,BENE,10320,1,S,66,I6,Tag reattached,BURNED,671,2023
666100018,46,54,BENE,10325,1,S,69,E5,,BURNED,666,2023
666100019,53,40,BENE,10328,1,S,31,E6,,BURNED,666,2023
671100020,94,49,BENE,10330,1,S,78,J6,,BURNED,671,2023
668100021,96,35,CEIN,10346,1,S,62,J7,Sp conf CEIN 2023,BURNED,668,2023
670100022,49,85,BENE,10351,1,S,142,E2,,BURNED,670,2023
675100023,14,63,PSME,10354,1,S,150,B4,,BURNED,675,2023
670100024,55,11,PSME,10360,1,S,219,F9,,BURNED,670,2023
666100025,80,9,BENE,10361,1,S,55,J10,,BURNED,666,2023
669100026,91,97,BENE,10363,1,S,70,J1,,BURNED,669,2023
669100027,28,98,BENE,10364,1,S,98,C1,,BURNED,669,2023
668100028,66,27,BENE,10368,1,S,85,G8,,BURNED,668,2023
670100029,90,35,BENE,10377,1,S,61,J7,,BURNED,670,2023
671100030,38,92,BENE,10379,1,S,65,D1,,BURNED,671,2023
666100031,97,33,BENE,10383,1,S,59,J7,,BURNED,666,2023
671100032,32,10,BENE,10386,1,S,105,D9,,BURNED,671,2023
666100033,91,40,BENE,10388,1,S,41,J6,,BURNED,666,2023
666100034,38,92,BENE,10399,1,S,86,D1,,BURNED,666,2023
668100035,68,37,BENE,10400,1,S,50,G7,,BURNED,668,2023
622100036,25,38,CEVE,11204,1,S,73,C7,CEVE3 ,BURNED,622,2023
607100037,17,59,PSME,11213,2,S,41,B5,,BURNED,607,2023
607100038,24,77,PSME,11214,2,S,37,C3,,BURNED,607,2023
622100039,60,71,BENE,11217,2,S,69,G3,,BURNED,622,2023
622100040,88,1,PSME,11222,2,S,38,I10,,BURNED,622,2023
622100041,19,76,PSME,11225,2,S,48,B3,,BURNED,622,2023
667100042,80,49,PSME,11227,2,S,42,I6,,BURNED,667,2023
622100043,29,3,CEVE,11228,2,S,143,C10,,BURNED,622,2023
639100044,40,10,BENE,11233,2,S,25,E9,,BURNED,639,2023
622100045,28,42,ACMA,11234,2,S,70,C6,,BURNED,622,2023
607100046,52,77,PSME,11235,2,S,46,F3,,BURNED,607,2023
672100047,11,12,BENE,11239,2,S,1,B9,Stem buried,BURNED,672,2023
671100048,87,75,BENE,11241,2,S,35,I3,,BURNED,671,2023
623100049,30,5,PSME,11245,2,S,40,D10,,BURNED,623,2023
623100050,56,65,PSME,11249,2,S,66,F4,,BURNED,623,2023
623100051,86,85,PSME,11251,2,S,32,I2,,BURNED,623,2023
623100052,45,75,ACMA,11258,2,S,54,E3,,BURNED,623,2023
643100053,4,37,ARME,11260,2,S,65,A7,,BURNED,643,2023
623100054,32,40,PSME,11263,2,S,66,D6,,BURNED,623,2023
650100055,35,100,CEIN,11265,2,S,307,D1,,BURNED,650,2023
607100056,46,73,BENE,11267,2,S,30,E3,,BURNED,607,2023
663100057,27,9,BENE,11269,2,S,58,C9,,BURNED,663,2023
640100058,52,85,BENE,11274,2,S,116,F2,,BURNED,640,2023
623100059,17,20,PSME,11275,2,S,58,B8,,BURNED,623,2023
607100060,48,31,PSME,11277,2,S,42,E8,,BURNED,607,2023
623100061,32,22,BENE,11278,2,S,22,D8,,BURNED,623,2023
672100062,35,39,ARME,11281,2,S,28,D7,,BURNED,672,2023
672100063,39,23,ARME,11283,2,S,31,D8,,BURNED,672,2023
654100064,61,60,CEIN,11286,2,S,115,G4,,BURNED,654,2023
607100065,59,16,PSME,11288,2,S,44,F9,,BURNED,607,2023
623100066,23,32,BENE,11289,2,S,25,C7,,BURNED,623,2023
607100067,14,18,BENE,11293,2,S,38,B9,,BURNED,607,2023
654100068,68,68,CEIN,11299,2,S,100,G4,,BURNED,654,2023
