HerbID,StandID,Plot,HerbSpecies,Cover,AvgCell,PrevStemCount,PrevYear,PrevComments
001COLA3,FOREG02,1,COLA3,25,F4,31,2022,
001LIBO,FOREG02,1,LIBO,3,G4,3,2022,
001NECO12,FOREG02,1,NECO12,1,A4,1,2022,HERBIVORY
001RUUR,FOREG02,1,RUUR,19,C4,3,2022,
001OXOR,FOREG02,1,OXOR,2,I9,1,2022,LIGHT HERBIVORY
001PRHO2,FOREG02,1,PRHO2,8,F6,3,2022,MULTISTEM POTENTIALLY 2 IND LAST YEAR
001KIOR,FOREG02,1,KIOR,20,D6,20,2022,
001ISMY2,FOREG02,1,ISMY2,7,D4,7,2022,PARTIAL LITTER
001OTHERMOSS,FOREG02,1,OTHERMOSS,1,C6,1,2022,POT DICRANUM GENUS
002COLA3,FOREG02,2,COLA3,41,E4,50,2022,
002LIBO,FOREG02,2,LIBO,28,E3,13,2022,
002TROV2,FOREG02,2,TROV2,5,H1,3,2022,
002UNK1,FOREG02,2,UNK1,2,E2,2,2022,
002ANDE3,FOREG02,2,ANDE3,1,A9,1,2022,ID BASED ON PREV YEAR ID
002NECO12,FOREG02,2,NECO12,2,E2,2,2022,
002UNK2,FOREG02,2,UNK2,1,A3,1,2022,POSSIBLE TRBOL
002KIOR,FOREG02,2,KIOR,60,D5,60,2022,
002ISMY2,FOREG02,2,ISMY2,2,I8,2,2022,LITTER
003COLA3,FOREG02,3,COLA3,23,F5,18,2022,
003VISE3,FOREG02,3,VISE3,3,B1,2,2022,
003TROV2,FOREG02,3,TROV2,3,E1,1,2022,STEM BROKEN
003ANDE3,FOREG02,3,ANDE3,4,E3,3,2022,
003RUUR,FOREG02,3,RUUR,4,H4,1,2022,
003LIBO,FOREG02,3,LIBO,12,G2,6,2022,
