HerbID,StandID,Plot,HerbSpecies,PrevCover,AvgCell,PrevStemCount,PrevYear,PrevComments
644_CHAN9,BURNED,644,CHAN9,5,E4,7,2023,
641_AGCA5,BURNED,641,AGCA5,8,I2,8,2023,Agrostis capillaris
638_LOMI,BURNED,638,LOMI,4,F5,4,2023,
638_CEPU12,BURNED,638,CEPU12,75,F5,,2023,Ceratodon purpensus
638_CALAMAGROSTIS,BURNED,638,CALAMAGROSTIS,1,E3,1,2023,
642_LOMI,BURNED,642,LOMI,2,I7,1,2023,
641_CALAMAGROSTIS,BURNED,641,CALAMAGROSTIS,17,H5,19,2023,Calamagrostis genus
638_LANE3,BURNED,638,LANE3,2,C10,2,2023,
642_COGR2,BURNED,642,COGR2,11,B2,26,2023,Collinsia grandiflora COGR2
642_WHMO,BURNED,642,WHMO,2,A9,1,2023,
645_CEPU12,BURNED,645,CEPU12,35,F5,,2023,Ceratodon purpureus
633_ADBI,BURNED,633,ADBI,1,B5,1,2023,
638_CHAN9,BURNED,638,CHAN9,4,D8,3,2023,Herbivory on all stems
633_CEPU12,BURNED,633,CEPU12,15,D5,,2023,CEPU Firemoss
644_CEPU12,BURNED,644,CEPU12,35,D6,,2023,Ceratodon purpureus
633_LYLA,BURNED,633,LYLA,38,F5,49,2023,
642_CEPU12,BURNED,642,CEPU12,60,F5,,2023,Ceratodon purpureus
641_LOMI,BURNED,641,LOMI,11,G5,11,2023,
633_COGR2,BURNED,633,COGR2,1,B2,1,2023,Colinsia grandiflora 
638_MAGR3,BURNED,638,MAGR3,1,G10,2,2023,Madia gracilis MAGR3
633_EPCIW,BURNED,633,EPCIW,1,A4,1,2023,
642_LASE,BURNED,642,LASE,7,E6,5,2023,
642_LYLA,BURNED,642,LYLA,2,E2,2,2023,
641_LYLA,BURNED,641,LYLA,1,D1,1,2023,
641_CHAN9,BURNED,641,CHAN9,10,F4,10,2023,Herbivory on all
644_LYLA,BURNED,644,LYLA,1,D5,1,2023,
644_MYMU,BURNED,644,MYMU,5,I10,1,2023,
642_CHAN9,BURNED,642,CHAN9,2,H4,1,2023,
641_UNK,BURNED,641,UNK,8,I2,8,2023,Agrostis capillaris
638_CEPU12,BURNED,638,CEPU12,75,F5,,2023,Ceratodon purpensus
638_POACEAE,BURNED,638,POACEAE,1,E3,1,2023,
641_CALAMAGROSTIS,BURNED,641,CALAMAGROSTIS,17,H5,19,2023,Calamagrostis genus
642_COGR2,BURNED,642,COGR2,11,B2,26,2023,Collinsia grandiflora COGR2 update PODO4
645_CEPU12,BURNED,645,CEPU12,35,F5,,2023,Ceratodon purpureus
633_CEPU12,BURNED,633,CEPU12,15,D5,,2023,CEPU Firemoss
644_CEPU12,BURNED,644,CEPU12,35,D6,,2023,Ceratodon purpureus
642_CEPU12,BURNED,642,CEPU12,60,F5,,2023,Ceratodon purpureus
633_COGR2,BURNED,633,COGR2,1,B2,1,2023,Colinsia grandiflora 
638_MAGR3,BURNED,638,MAGR3,1,G10,2,2023,Madia gracilis MAGR3
615_MYMU,BURNED,615,MYMU,9,G6,4,2023,
610_LYLA,BURNED,610,LYLA,4,G5,4,2023,
614_EPCIW,BURNED,614,EPCIW,2,B2,2,2023,
616_GATR3,BURNED,616,GATR3,1,D7,1,2023,
614_MYMU,BURNED,614,MYMU,18,E4,10,2023,
618_LYLA,BURNED,618,LYLA,2,J10,2,2023,
614_CEPU12,BURNED,614,CEPU12,1,B7,,2023,
615_GATR3,BURNED,615,GATR3,16,F5,8,2023,
616_COHE2,BURNED,616,COHE2,80,F5,62,2023,
612_HIAL2,BURNED,612,HIAL2,1,F4,1,2023,
612_CLSI2,BURNED,612,CLSI2,20,E4,7,2023,
615_LIBO,BURNED,615,LIBO,1,B4,1,2023,
615_LYLA,BURNED,615,LYLA,4,D3,1,2023,
613_ADBI,BURNED,613,ADBI,12,F8,2,2023,
610_CHAN9,BURNED,610,CHAN9,8,G5,7,2023,
610_MYMU,BURNED,610,MYMU,1,C1,1,2023,
615_CHAN9,BURNED,615,CHAN9,19,F4,9,2023,Herbivory
614_GATR3,BURNED,614,GATR3,81,G5,87,2023,
616_VISE3,BURNED,616,VISE3,7,E9,9,2023,
612_CEPU12,BURNED,612,CEPU12,1,I7,,2023,
618_MYMU,BURNED,618,MYMU,10,F4,10,2023,
611_CHAN9,BURNED,611,CHAN9,36,F5,32,2023,Herbivory
618_CHAN9,BURNED,618,CHAN9,21,C6,13,2023,Herbivory
614_WHMO,BURNED,614,WHMO,5,F5,4,2023,
610_SESY,BURNED,610,SESY,1,C4,1,2023,
611_SESY,BURNED,611,SESY,1,I4,1,2023,
614_ARCA2,BURNED,614,ARCA2,26,E6,1,2023,
610_CEPU12,BURNED,610,CEPU12,25,G3,,2023,
614_POMU,BURNED,614,POMU,9,H9,1,2023,
615_POLO4,BURNED,615,POLO4,14,G4,13,2023,Polystichum lonchitis POLO4
616_KIOR,BURNED,616,KIOR,10,F8,,2023,
610_COGR2,BURNED,610,COGR2,2,F6,2,2023,
616_CEPU12,BURNED,616,CEPU12,7,F2,,2023,
613_KIOR,BURNED,613,KIOR,2,H2,,2023,
615_POMU,BURNED,615,POMU,27,C7,1,2023,
611_CEPU12,BURNED,611,CEPU12,3,D6,,2023,
614_COLA3,BURNED,614,COLA3,13,E7,9,2023,
