Plot,StandID,Quadrat,AdultSp,Azimuth,DistanceToPlot,AdultTag,AdultDBH,EmptyCells,PlantCover,Personnel,MossCover,PlotNotes,SurveyDate,UTM_X,UTM_Y,Densiometer
1,FOREG_02,0002,TSHE,278,1.95,100743,76,2,98,SRZ GET CJD GVM,35,2019 2.1m at 68 degrees from 01_00539 2020  2021  2022 Debris in plot 103 TS lost 2023 Debris ,6/8/23,,,100
2,FOREG_02,0103,TABR,300,2.35,200079,30.9,1,99,CJD BWG,75,2019  2020  2021 No TS lost from 2020 2022  2023 ,6/6/23,,,
3,FOREG_02,0004,TSHE,128,1.19,100256,,5,95,CJD GET,35,2019  2020  2021 Log data not gathered in 2021 2022  2023 Nearby tree  01_00255 PSME 68.7 cm DBH,6/12/23,,,98
4,FOREG_02,0005,THPL,82,1.38,100340,27,30,70,CJD GET,20,2019 Dog_leg connected to snag 2020 1 TS lost 2021 2 THPL growing together CWD 2022 37 TS lost debris covering plot 2023 Debris ,6/12/23,,,97
5,FOREG_02,0202,PSME,14,1.82,200455,105.5,4,96,CJD BWG,55,2019  2020 5 TS lost 2021 1 TSHE TS lost 2022  2023 ,6/6/23,,,98
6,FOREG_02,0107,PSME,344,2.3,200053,143,5,95,SRZ GET,45,2019 next to odd THPL maybe not usable 2020 1 TS lost THPL fell 2021 1 TS lost  2022 2 TS lost 2023 ,6/12/23,,,97
7,FOREG_31,1511,TSHE,273,1.45,1600127,44.3,45,65,GRR CJD,1,2019  2020  2021  2022  2023 ,6/20/23,,,97
8,FOREG_31,1510,PSME,315,2.55,1600035,133.9,5,95,GRR CJD,30,2019  2020 2 TS lost CHUMS __ CHME/PYPI 2021  2022  2023 ,6/20/23,,,99
9,FOREG_31,1410,TSHE,25,1.9,1500116,,35,65,GRR CJD,1,Likely all VAPA are VAME but cannot verify without Hitchcock nearby tree   15_00115 TSHE 98.3 cm DBH may be mistake for the paired tree,6/20/23,,,99
10,FOREG_31,1409,TSHE,27,1.3,1500133,64.2,65,35,GRR CJD,3,2019  2020 5 TS lost 2021  2022  2023 ,6/20/23,,,99
11,FOREG_31,1409,CACH,60,2.15,1500041,34.3,90,20,GRR CJD,0,2019 2 chinqapins near plot 2020  2021  2022 Debris 2023 ,6/20/23,,,97
12,FOREG_31,1408,TABR,187,1.15,1500077,26.1,40,60,GRR CJD,8,2019  2020 debris partially crushed plot 2021 1 TS lost 2022 Log covering half of plot 2023 ,6/20/23,,,98
